Governorate,Manufacturing Industries,Water,Education,Financial Corporations,Non Profit Institutions Serving House hold Sector,Total Governorate GDP
New Valley,575911.97,9626.23,151980.92,727625.75,6249.84,16963303.56
North Sinai,1224536.96,83649.92,239456.02,211370.82,13810.68,48932189.27
South Sinai,317289.3,583582.77,329940.23,1415211.1,155055.86,58385671.92
Matruh,821576.82,131025.76,346111.19,482475.46,3609.36,115551561.8
Red Sea,472884.92,716329.19,483031.05,2153679.6,38722.28,75872125.82
Aswan,5793301.98,484678.92,509100.56,1249135.95,31486.86,76265172.1
Luxor,2317273.43,67924.71,793174.64,998433.42,9270.66,46633619.51
Qena,15529487.95,453542.98,870935.73,804584.58,121037.29,80395005.8
Port Said,16468443.14,434190.37,991887.17,2695745.48,162239.41,190154283
Sohag,5748010.89,265618.58,1237699.16,2199731.79,49434.42,107756710.5
Damietta,21191763.81,146998.03,1419604.55,1900034.93,57118.57,110340429.5
Ismailia,16510386.14,104011.74,1547005.32,2124031.89,201980.29,91127251.34
Suez,39807222.25,291078.64,1910343.79,1235499.71,21160.08,119128546.2
Fayoum,6884422.94,621523.43,2241819.53,1156908.44,90609.61,133504051.6
Minya,6860813.89,268216.1,2320280.95,1978949.77,194044.32,130976188.7
Asyut,12442416.82,234443.92,2722359.6,2869706.22,61561.12,126142817.7
Beni Suef,9538433.49,338294.37,2811229.96,1418129.92,36269.37,87193583.76
Kafr ElSheikh,8447917.89,743527.48,2992848.03,1393531.58,39168.85,151053326
Beheira,17840948.09,1718019.66,4580498.54,1833362.09,99996.4,288856797
Menoufia,40318658.05,420230.08,5064121.1,1967101.22,50901.75,157267097.5
Gharbia,27212370.73,511570.35,7252835.64,3816727.57,258875.03,173762730.9
Sharqia,91978114.44,338668.86,8577649.29,4877667.88,455441.73,302064974.3
Dakahlia,21427408.85,370222.22,8917803.12,4666148.99,130962.91,294015598.9
Qalyubia,108110800.1,1153068.57,12699727.24,1913018.95,294824.19,339315850.5
Alexandria,76703572.98,1510806.82,16213641.59,15195271.31,7149707.42,565875824.5
Giza,179312792.6,1471750.46,20042479.23,68238746.56,2950533.63,770070970.7
Cairo,189671312.2,1441434.64,46530857.97,146094496,13554384.96,1876649843
