Governorate,Region,Health
Cairo,Greater Cairo,76384494.69
Giza,Greater Cairo,23138969.7
Qalyubia,Greater Cairo,9087049.64
Asyut,Central Upper Egypt,2862238.58
New Valley,Central Upper Egypt,147385.34
Suez,Suez Canal,908505.38
Ismailia,Suez Canal,898760.71
Sharqia,Suez Canal,2322852.33
Port Said,Suez Canal,745882.4
North Sinai,Suez Canal,136995.44
South Sinai,Suez Canal,415412.06
Beheira,Alexandria,5193311.99
Alexandria,Alexandria,24136331.42
Matruh,Alexandria,269716.71
Fayoum,North Upper Egypt,2887359.27
Beni Suef,North Upper Egypt,1687707.85
Minya,North Upper Egypt,3017137.13
Aswan,South Upper Egypt,2519448.17
Luxor,South Upper Egypt,1098274.82
Sohag,South Upper Egypt,2056812.79
Qena,South Upper Egypt,1479960.82
Red Sea,South Upper Egypt,595647.86
Gharbia,Delta,4991099.1
Menoufia,Delta,3781622.56
Kafr ElSheikh,Delta,2535647.63
Dakahlia,Delta,4301326.93
Damietta,Delta,1662082.74
